program_id,name,organization,description,category,region,eligible_household_size_min,eligible_household_size_max,income_threshold,other_eligibility_notes,languages_supported,required_documents,application_url,application_method,contact_phone,last_verified_date,source_url
nyc-snap-001,Supplemental Nutrition Assistance Program (SNAP),NYC Human Resources Administration (HRA),"Monthly food assistance loaded onto a debit-style card, usable at most grocery stores and farmers markets.",food,nyc,1,,"Varies by household size and income; some non-citizens may still qualify","Eligibility interview can be done by phone; can apply together with Cash Assistance and Medicaid",en;es,"Photo ID;Proof of income;Proof of residence",https://a069-access.nyc.gov/ACCESSNYC/application.do,online,718-557-1399,2026-07-07,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-cashassist-001,Cash Assistance,NYC Human Resources Administration (HRA),"Monthly cash help for families in need, often paid via debit card or directly to a landlord for rent.",financial,nyc,1,,"Based on income, resources, and household size","Work/training program participation generally required unless age 60+",en;es,"Photo ID;Proof of residence;Proof of income",https://a069-access.nyc.gov/ACCESSNYC/application.do,online,718-557-1399,2025-06-18,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-eitc-001,Earned Income Tax Credit (EITC),NYC DCWP / IRS,"Federal, state, and city tax credit for working individuals and families with low to moderate income; averages about $2,300 combined.",financial,national,1,,"Single without children: up to ~$19,104/yr; married with children: up to ~$68,675/yr","Must have a valid Social Security number; must file a tax return",en;es,"W-2s or income records;Social Security number",https://www.nyc.gov/site/dca/talk-money/file-your-taxes.page,online,311,2026-03-21,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-ctc-001,Child Tax Credit (CTC),NYC DCWP / IRS,"Federal and NY State tax credit for families raising children, worth up to ~$3,200 per child under four and ~$2,700 for ages 4-16.",financial,national,1,,"Up to $200,000/yr (single) or $400,000/yr (married filing jointly)","Only one parent can claim a shared child; must file a tax return",en;es,"Social Security numbers for filer and dependents",https://www.nyc.gov/site/dca/talk-money/file-your-taxes.page,online,311,2026-03-21,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-headstart-001,Head Start / Early Head Start,U.S. Dept. of Health & Human Services,"Free early childhood education, meals, and health screenings for low-income families with children age 5 and under.",childcare,nyc,2,8,"At or below federal poverty guidelines (e.g. ~$33,000/yr for household of 4)","Also open to families in temporary housing or already receiving Cash Assistance/SNAP/SSI",en;es,"Proof of income or public benefits receipt;Child's age verification",https://headstart.gov/how-apply,online,,2026-03-12,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-drie-001,Disability Rent Increase Exemption (DRIE),NYC Department of Finance,"Freezes rent for tenants with a qualifying disability benefit; landlord receives a tax credit for the difference.",housing,nyc,1,,"Household income $50,000/yr or less; rent must exceed one-third of monthly income","Must live in rent-stabilized, rent-controlled, or similarly regulated housing; must receive SSI, SSDI, VA disability, or disability Medicaid",en,"Government ID;Proof of residence and lease;Proof of income;Disability benefit award letter",https://www.nyc.gov/assets/finance/jump/nyctap.html,online,929-252-7242,2026-05-12,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-scrie-001,Senior Citizen Rent Increase Exemption (SCRIE),NYC Dept. of Finance / HPD,"Freezes rent for seniors 62+ so they keep paying their current rent even if the landlord raises it.",housing,nyc,1,,"Household income $50,000/yr or less; rent must exceed one-third of monthly income","Must be 62+; must live in rent-stabilized, rent-controlled, or similarly regulated housing",en,"Proof of age and identity;Proof of rent/lease;Proof of household income",https://www.nyc.gov/site/rentfreeze/tools/nyc-tap.page,online,311,2025-02-19,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-section8-001,Section 8 / Housing Choice Voucher,NYC Housing Authority (NYCHA),"Voucher that covers part of rent for lower-income families renting from a private landlord; tenant pays no more than ~40% of income toward rent.",housing,nyc,1,8,"Household of 1: ~$59,400/yr; household of 4: ~$84,800/yr","Applications are currently closed as of this data pull -- check status before referring a client",en;es,"N/A while applications closed",http://www1.nyc.gov/site/nycha/section-8/about-section-8.page,phone,718-707-7771,2026-05-28,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-qhp-001,Qualified Health Plans (QHP),NY State of Health,"Subsidized private health insurance marketplace plans covering preventive care and pre-existing conditions at no extra cost.",health,statewide,1,,"Subsidy amount depends on income; those below certain thresholds may qualify for Medicaid/Essential Plan/CHP instead","Must be a NY State resident and a U.S. citizen or lawfully present",en;es,"Proof of NY State residency;Immigration/citizenship status documentation",https://nystateofhealth.ny.gov/,online,855-355-5777,2025-11-22,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-compass-001,Comprehensive After School System (COMPASS NYC),NYC Dept. of Youth & Community Development,"Free afterschool programs for K-12 students offering homework help, STEM, arts, and sports, typically 3 hours/day.",enrichment,nyc,1,,"No income requirement","Open to all NYC students in kindergarten through 12th grade; individual program sites may add requirements",en;es,"Proof of child's identity (birth certificate, passport, or school record)",https://discoverdycd.dycdconnect.nyc/,online,800-246-4646,2024-10-12,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
